,title,countries_distinct_count,institutions_distinct_count,cited_by_count,publication_year,id,num_authors,total_author_domain_count,mean_author_domain_count,max_author_domain_count,total_author_field_count,mean_author_field_count,max_author_field_count,total_author_subfield_count,mean_author_subfield_count,max_author_subfield_count
70,Semantic Computing of Moods Based on Tags in Social Media of Music,1,1,34,2014,https://openalex.org/W3100472103,2,4,3.5,4,9,6.0,9,15,9.5,15
71,Privacy-preserving Quantum Sealed-bid Auction Based on Grover’s Search Algorithm,1,1,17,2019,https://openalex.org/W2946517136,2,4,2.5,4,10,7.0,9,21,13.0,15
72,Unraveling the presence of multiple plagioclase populations and identification of representative two-dimensional sections using a statistical and numerical approach,2,3,27,2017,https://openalex.org/W2753588555,3,4,2.6666666666666665,4,12,7.0,10,31,13.333333333333334,19
73,Can machines talk? Comparison of Eliza with modern dialogue systems,3,3,83,2016,https://openalex.org/W2275716005,4,4,3.5,4,15,7.5,10,39,14.25,16
74,Heritability and Stochasticity in Primary Endothelial Cell Signaling,1,1,0,2019,https://openalex.org/W2912219381,4,4,3.25,4,15,5.75,7,36,15.25,16
75,Total Variation Blind Deconvolution: The Devil Is in the Details,1,1,217,2014,https://openalex.org/W1992309968,2,3,3.0,3,5,5.0,5,13,9.5,11
76,Handover Parameter Optimisation of a Cellular Network The Kenyan Case,1,1,1,2016,https://openalex.org/W2460103153,2,2,1.5,2,4,3.0,4,9,5.5,9
77,TH Express-2 reaches new heights for supercomputer interconnects,1,2,1,2016,https://openalex.org/W2326531876,1,4,4.0,4,8,8.0,8,17,17.0,17
78,Properties of Generalized Feedback Shift Registers for Secure Scan Design,1,2,2,2016,https://openalex.org/W2327770063,2,3,3.0,3,10,6.5,8,27,15.5,16
79,From Normalizing Serials to Normalizing Ships: Improving Access to All Types of Digitized Resources,1,1,0,2012,https://openalex.org/W2057724851,1,2,2.0,2,4,4.0,4,8,8.0,8
80,Modern Approaches to Aspect-Based Sentiment Analysis,1,1,2,2015,https://openalex.org/W2744003600,3,2,2.0,2,4,2.3333333333333335,3,4,2.3333333333333335,3
81,Signal Estimation Using Wavelet Analysis of Solution Monitoring Data for Nuclear Safeguards,1,1,1,2013,https://openalex.org/W2086744091,2,4,2.5,4,10,6.0,10,17,9.5,16
82,Algorithms for Centrosymmetric and Skew-Centrosymmetric Matrics,0,0,4,2006,https://openalex.org/W2966441366,1,1,1.0,1,4,4.0,4,5,5.0,5
83,A Random Matrix - based Fraud Prevention Model,1,1,0,2017,https://openalex.org/W2626058915,2,4,2.5,4,7,4.0,7,15,8.0,15
84,Attacks on the Search RLWE Problem with Small Errors,0,0,13,2017,https://openalex.org/W2963036931,3,4,3.0,4,13,7.0,9,34,15.666666666666666,16
85,Fast content-based image retrieval using convolutional neural network and hash function,1,2,22,2016,https://openalex.org/W2587013007,2,2,1.5,2,7,4.5,5,17,9.5,14
86,From Coalition Logic to STIT,3,4,20,2006,https://openalex.org/W2101146515,3,3,2.3333333333333335,3,10,6.666666666666667,8,22,12.0,13
87,Two inequalities for the Hadamard product of matrices,1,1,2,2012,https://openalex.org/W2085853148,1,3,3.0,3,6,6.0,6,14,14.0,14
88,"End-User Development for Interactive Data Analytics: Uncertainty, Correlation and User Confidence",1,2,10,2018,https://openalex.org/W2727242542,6,4,3.5,4,16,7.666666666666667,10,56,16.333333333333332,20
89,Formal manipulation of modular software systems,1,1,2,1990,https://openalex.org/W1997331557,3,4,3.6666666666666665,4,13,9.0,11,42,18.333333333333332,20
90,VLSI IMPLEMENTATION OF HIGH PERFORMANCE DIGITAL COMPARATOR FOR ANALOG SIGNAL PROCESSING APPLICATION,0,0,1,2016,https://openalex.org/W2581624804,1,1,1.0,1,1,1.0,1,1,1.0,1
91,Implementation of Augmented Reality of Android Based Animal Recognition using Marker Based Tracking Methods,0,0,5,2019,https://openalex.org/W2994980691,5,4,2.4,4,14,4.8,11,24,7.8,17
92,Comparison between a Fixed and a Tracking Solar Heating System for a Thermophilic Anaerobic Digester,1,1,5,2014,https://openalex.org/W2034357860,5,4,2.4,4,13,5.6,10,28,8.6,15
93,Flue gas treatment multi-criteria analysis,1,1,5,2017,https://openalex.org/W2762691777,5,3,2.4,3,10,6.0,8,30,13.6,19
94,STTC design for vehicular communication systems employing fixed‐gain AF PLNC over cascaded fading channels,1,3,6,2018,https://openalex.org/W2791828013,2,2,1.5,2,5,3.5,4,12,7.0,9
95,ON VERIFICATION OF FORMAL MODELS OF COMPLEX SYSTEMS,1,2,0,2018,https://openalex.org/W2808208453,2,1,1.0,1,1,1.0,1,1,1.0,1
96,Robust Speech Dereverberation With a Neural Network-Based Post-Filter That Exploits Multi-Conditional Training of Binaural Cues,1,1,6,2018,https://openalex.org/W2766439643,1,4,4.0,4,12,12.0,12,18,18.0,18
97,Language and translation model adaptation using comparable corpora,1,1,61,2008,https://openalex.org/W2116042738,3,4,3.0,4,11,5.333333333333333,8,24,10.333333333333334,14
98,Chemical fragment arrays for rapid druggability assessment,2,5,18,2016,https://openalex.org/W2255897055,8,4,3.0,4,15,6.25,8,45,11.625,15
99,Database challenges in global information systems,1,1,10,1993,https://openalex.org/W2079335311,2,2,2.0,2,4,3.5,4,10,8.5,10
0,ObjVProlog-D: a reflexive object-oriented logic language for distributed computing,1,1,0,1991,https://openalex.org/W3162757551,3,1,1.0,1,1,1.0,1,2,1.3333333333333333,2
1,A Contigency Model for Requirements Development,0,0,94,2007,https://openalex.org/W1523430138,4,3,2.25,3,10,6.5,8,33,15.75,17
2,,0,0,0,2019,https://openalex.org/W3215708022,1,3,3.0,3,5,5.0,5,8,8.0,8
3,FEATURES OF MODERN MEDIA AS A SOCIAL INSTITUTION OF THE INFORMATION SOCIETY,0,0,0,2014,https://openalex.org/W2912541895,1,2,2.0,2,4,4.0,4,7,7.0,7
4,Experimental Analysis of UDP Performance in Mobile Ad Hoc Networks with Different Routing Protocols and varying payload,1,1,0,2011,https://openalex.org/W2319825605,4,4,2.5,4,10,5.0,7,26,10.0,17
5,Now there's a supercomputer for the left brain... ...and the right,0,0,0,1992,https://openalex.org/W4244587761,0,0,0.0,0,0,0.0,0,0,0.0,0
6,Cognitive Computing,2,3,1,2018,https://openalex.org/W4232917931,3,4,2.6666666666666665,4,12,6.666666666666667,11,32,13.333333333333334,21
7,Green Signal Interpolation of a Single-Imaging Device Color Camera with a Bayer Array of Primary Color Filters,0,0,1,2003,https://openalex.org/W2318254189,1,3,3.0,3,7,7.0,7,17,17.0,17
8,Development and Application of a Robot-Art Program for Elementary After-school Classroom Teaching,0,0,2,2014,https://openalex.org/W2317906485,2,2,1.5,2,7,4.0,7,15,8.0,15
9,Multi-source Hierarchical Prediction Consolidation,1,4,5,2016,https://openalex.org/W2510343936,6,4,2.8333333333333335,4,18,7.833333333333333,11,51,13.333333333333334,17
10,Facial expression recognition based on improved deep belief networks,1,1,5,2017,https://openalex.org/W2745048495,2,4,3.0,4,8,5.0,7,21,11.5,18
11,TROPOSCATTER COMMUNICATION LINK MODEL BASED ON RAY-TRACING,1,2,4,2018,https://openalex.org/W2907315457,4,3,2.0,3,10,5.25,8,22,9.75,15
12,Classical Chinese Education and its Textbooks at Colleges in Korea,0,0,0,2009,https://openalex.org/W4253976541,1,1,1.0,1,1,1.0,1,1,1.0,1
13,Progressive Back-Traced Dehazing Network Based on Multi-Resolution Recurrent Reconstruction,2,3,4,2020,https://openalex.org/W3010843402,5,4,2.2,3,10,3.8,6,24,7.4,11
14,Virtual pyramid wavefront sensor for phase unwrapping,2,3,2,2016,https://openalex.org/W2529391181,3,4,3.3333333333333335,4,12,8.0,11,24,15.666666666666666,19
15,20803 Fabrication of simple robot face expressing few emotions,1,1,0,2008,https://openalex.org/W2635881821,2,4,3.0,4,9,6.0,8,20,11.5,18
16,Multiobjective Artificial Bee Colony Algorithm for S-box Optimization,1,2,1,2015,https://openalex.org/W1893027524,3,3,2.6666666666666665,3,11,6.333333333333333,9,34,14.666666666666666,18
17,A Hopf's lemma and the boundary regularity for the fractional p-Laplacian,0,0,8,2019,https://openalex.org/W2963356815,2,4,2.5,4,12,7.0,12,20,11.0,20
18,INTEGRATING SHAPE AND TEXTURE FOR HAND VERIFICATION,2,2,9,2006,https://openalex.org/W1971659899,2,4,3.5,4,11,7.0,7,24,13.5,14
19,The Origin of the Reformist Intellectuals’ Self-Deprecating Mentality: Effects of the Progressive Conception of Time in Late Nineteenth-Century Korea,0,0,1,2012,https://openalex.org/W2939649876,1,1,1.0,1,1,1.0,1,1,1.0,1
20,On the nonexistence of a relation between σ -left-porosity and σ -right-porosity,1,1,0,2014,https://openalex.org/W2057697109,1,2,2.0,2,3,3.0,3,7,7.0,7
21,Language constructs and transformation for hard real-time systems,1,1,4,1995,https://openalex.org/W1984416004,2,3,2.5,3,7,5.0,6,17,11.0,13
22,The Impact of FDA Traceability Rules on Iowa Agriculture,1,1,0,2005,https://openalex.org/W2802226298,2,4,3.0,3,7,4.5,5,18,11.0,14
23,Low Cost 3D Scanners Along the Design of Lower Limb Prosthesis,1,2,1,2015,https://openalex.org/W2119350007,5,4,3.0,4,10,5.8,8,38,14.4,18
24,Evaluation and Comparison of Discovery Tools: An Update,1,1,31,2014,https://openalex.org/W2124764287,2,4,3.0,4,10,6.0,10,19,10.0,17
25,Grid Resource Discovery Based on Centralized and Hierarchical Architectures,2,3,21,2010,https://openalex.org/W2509040933,3,3,2.0,3,9,4.0,6,19,8.0,12
26,DCU-ADAPT: Learning Edit Operations for Microblog Normalisation with the Generalised Perceptron,1,1,4,2015,https://openalex.org/W1173432978,2,4,4.0,4,10,7.5,8,26,14.5,16
27,"DEVELOPMENT OF INDUSTRY-ORIENTED, STUDENT-CENTRED MASTER-LEVEL EDUCATION IN THE FIELD OF PHYSICAL SCIENCES IN BELARUS",0,0,3,2018,https://openalex.org/W2885936550,5,3,2.0,3,9,4.6,7,32,12.0,18
28,SYSTEM FOR EARTHQUAKE PREDICTION RESEARCH IN THE REGION OF VHF FREQUENCY BAND,1,1,4,2002,https://openalex.org/W584069842,4,4,2.75,4,12,6.75,8,35,12.5,19
29,Multi-agent oriented programming with JaCaMo,3,4,296,2013,https://openalex.org/W1991609163,5,4,3.4,4,15,8.0,11,50,16.0,21
30,Veb spamlar və onlarla mübarizə metodları,0,0,0,2018,https://openalex.org/W2907079921,1,1,1.0,1,1,1.0,1,1,1.0,1
31,Refunctionalization at Work,1,1,4,2008,https://openalex.org/W2592866641,2,3,2.0,3,5,3.0,5,11,7.0,11
32,Enhancing Surface and Thin Film Analysis Through In-Situ Complementary Raman Spectroscopy,1,1,0,2019,https://openalex.org/W3091107562,3,4,2.3333333333333335,4,10,7.0,9,19,11.333333333333334,17
33,Analisis Informasi Citra Anatomi Vaskular dengan Multi Planar Reformating (MPR) dan Maximum Intensity Projection (MIP) pada Fase Early Arteri Pemeriksaan MSCT Abdomen,1,1,0,2017,https://openalex.org/W2897602042,3,4,2.3333333333333335,4,8,3.6666666666666665,8,22,7.666666666666667,16
34,A multiscale derivation of a new parabolic equation which includes density variations,1,1,12,1985,https://openalex.org/W2033950774,1,1,1.0,1,7,7.0,7,19,19.0,19
35,Development of laboratory wet creping method to evaluate and control pulp quality for tissue,0,0,8,2015,https://openalex.org/W2980978631,3,2,1.3333333333333333,2,4,3.0,4,11,5.666666666666667,8
36,Reducing energy consumption of wireless sensor networks using rules and extreme learning machine algorithm,2,2,14,2019,https://openalex.org/W2944872494,3,4,3.0,3,11,5.666666666666667,7,23,11.666666666666666,14
37,On the local distinguishing numbers of cycles,1,1,11,1999,https://openalex.org/W1972858392,2,4,3.0,3,10,7.0,8,24,13.0,15
38,Relating two automata-based models of orchestration and choreography,2,2,22,2016,https://openalex.org/W2179766293,4,3,2.75,3,6,5.0,6,21,11.75,16
39,Modeling and Optimization of Meta-Caching Assisted Transcoding,1,1,1,2008,https://openalex.org/W2025163351,3,3,2.3333333333333335,3,11,6.333333333333333,9,22,12.0,15
40,Analysis on Language Development Stages of Infants,1,0,0,2017,https://openalex.org/W2597651913,1,1,1.0,1,4,4.0,4,4,4.0,4
41,Walking Before Running: A Prelude to Multimedia Construction Information,1,1,0,1995,https://openalex.org/W4299995027,3,4,2.0,4,9,3.6666666666666665,9,20,7.333333333333333,20
42,3D surface profile measurement by single shot interferometry with wide field of view,1,1,1,2019,https://openalex.org/W3001613643,3,3,2.6666666666666665,3,9,6.0,6,32,15.666666666666666,17
43,Amrita_CEN at SemEval-2016 Task 1: Semantic Relation from Word Embeddings in Higher Dimension,2,3,6,2016,https://openalex.org/W2463655172,3,4,2.6666666666666665,3,10,5.666666666666667,9,21,10.333333333333334,12
44,Privacy Preserving Group Nearest Neighbour Queries in Location-Based Services Using Cryptographic Techniques,1,1,16,2010,https://openalex.org/W2113164258,2,3,2.5,3,9,6.0,8,18,11.0,15
45,The responses of soil protozoan communities to Quercus aquifolioides: recovery after cutting and growing season dynamics,0,0,1,2015,https://openalex.org/W3108294945,4,4,3.5,4,13,7.5,9,37,14.5,19
46,"A general inexact iterative method for monotone operators, equilibrium problems and fıxed point problems of semigroups in Hilbert spaces",2,2,2,2012,https://openalex.org/W2134448844,3,4,3.0,4,13,7.333333333333333,10,32,14.666666666666666,20
47,Massive open online courses (MOOCs) for long-distance education in geriatric medicine across Europe,8,12,9,2019,https://openalex.org/W2980873285,26,4,2.769230769230769,4,18,4.961538461538462,10,86,13.346153846153847,22
48,The Extreme Searcher's Internet Handbook: A Guide for the Serious Searcher,0,0,0,2004,https://openalex.org/W4299911377,1,4,4.0,4,8,8.0,8,18,18.0,18
49,Frontal Operators in Weak Heyting Algebras,1,3,8,2012,https://openalex.org/W2111979092,2,3,2.5,3,8,5.5,7,14,8.5,12
50,Dynamical behaviour of Coven's aperiodic cellular automata,2,1,19,1996,https://openalex.org/W2004920156,2,4,3.0,3,15,10.0,10,29,16.5,18
51,Image Encryption Using Differential Evolution Approach in Frequency Domain,1,1,31,2011,https://openalex.org/W3098417184,2,1,1.0,1,2,1.5,2,5,3.0,5
52,Periodic waves of the Lugiato–Lefever equation at the onset of Turing instability,1,4,23,2018,https://openalex.org/W2792272322,2,1,1.0,1,2,1.5,2,2,1.5,2
53,About m-domination number of graphs,0,0,0,2019,https://openalex.org/W2941939655,2,2,1.5,2,4,2.5,4,7,4.0,7
54,International Conference and Youth School «Information Technologies and Nanotechnology» (ITNT-2017),0,0,7,2017,https://openalex.org/W2770322207,1,2,2.0,2,3,3.0,3,4,4.0,4
55,A Survey on Data Warehouse Approaches for Higher Education Institution,1,1,2,2018,https://openalex.org/W2800984602,2,2,1.5,2,2,1.5,2,3,2.0,3
56,"Review of Poncini, Gina (2004) <i>Discursive Strategies in Multicultural Business Meetings, Linguistic Insights</i>",0,0,0,2007,https://openalex.org/W2523096667,1,3,3.0,3,9,9.0,9,17,17.0,17
57,Formal Synthesis of Control Strategies for Positive Monotone Systems,1,1,12,2018,https://openalex.org/W3103773816,2,3,2.5,3,4,3.5,4,15,11.0,12
58,Analysis of space payload operation modes based on divide-and-conquer clustering,1,4,0,2016,https://openalex.org/W2295980905,3,4,2.0,3,10,4.333333333333333,7,20,8.0,17
59,On the continuity of background and mass extinction,0,0,39,2003,https://openalex.org/W2147616768,1,4,4.0,4,14,14.0,14,21,21.0,21
60,Indexing and matching trajectories under inconsistent sampling rates,1,2,89,2015,https://openalex.org/W1567097384,5,4,3.4,4,15,6.4,7,32,11.8,14
61,Method of E-mail information service for plant protectiion.,1,1,0,2001,https://openalex.org/W2326704446,1,3,3.0,3,9,9.0,9,20,20.0,20
62,Learning Rule in Neural Network and Adaptive Algorithm,0,0,0,1994,https://openalex.org/W2322187288,1,4,4.0,4,6,6.0,6,18,18.0,18
63,3P2-X06 An Anomaly Detection Method for an Elderly Monitoring System Using Financial Theories(Nursing and Mechatronics),1,1,0,2014,https://openalex.org/W2726756830,4,3,2.25,3,8,3.25,6,31,9.75,20
64,Decision lists over regular patterns,1,3,2,2003,https://openalex.org/W2029008210,2,3,2.5,3,10,6.0,10,20,11.0,18
65,Recent Technological Trends in Serials Publishing:,0,0,0,1988,https://openalex.org/W2068899454,1,3,3.0,3,5,5.0,5,8,8.0,8
66,Applications of the Single Board Computers in the Software Defined Radio Systems,1,0,1,2014,https://openalex.org/W2256523294,4,3,1.75,3,10,4.0,7,21,7.75,11
67,A Topic-Independent Method for Scoring Student Essay Content,1,3,0,2010,https://openalex.org/W2001512570,3,3,2.6666666666666665,3,10,5.0,8,18,7.666666666666667,13
68,The Research of Graphic Features of Chinese Typeface in Application for Spreading and Popularizing,1,1,0,2018,https://openalex.org/W4248531189,1,3,3.0,3,8,8.0,8,17,17.0,17
69,Synchronous rewriting in treebanks,2,2,5,2009,https://openalex.org/W1991936877,3,4,3.0,4,10,5.666666666666667,10,24,11.0,18
70,"Partial multicovering and the <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.gif"" display=""inline"" overflow=""scroll""><mml:mi>d</mml:mi></mml:math>-consecutive ones property",1,1,2,2011,https://openalex.org/W1989815994,2,3,3.0,3,7,5.0,6,14,10.0,13
71,Slip acceleration generates seismic tremor like signals in friction experiments,2,4,29,2011,https://openalex.org/W1623127163,5,4,2.4,4,14,7.4,9,34,14.8,16
72,A Case-based Management System for Secure Software Development Using Software Security Knowledge,1,5,7,2015,https://openalex.org/W2181807227,7,4,2.142857142857143,4,11,4.0,7,37,9.857142857142858,19
73,"Heterogeneous Networks and Their Applications: Scientometrics, Name Disambiguation, and Topic Modeling",1,1,9,2014,https://openalex.org/W2111100331,3,4,3.6666666666666665,4,15,7.333333333333333,10,32,12.666666666666666,16
74,A Survey on Contemporary and Core IoT Standards and Protocols,0,0,0,2019,https://openalex.org/W3002040957,1,3,3.0,3,5,5.0,5,5,5.0,5
75,Computation of Channel Capacity Based on Self-Concordant Functions,1,2,0,2012,https://openalex.org/W1966013066,2,3,2.5,3,9,5.5,6,27,14.0,15
76,Cases of Note -- CAN CAN-SPAM CAN SPAM?,0,0,0,2007,https://openalex.org/W6655605,1,3,3.0,3,7,7.0,7,15,15.0,15
77,Second-Order Selection Bias,1,0,0,1994,https://openalex.org/W1965519454,1,3,3.0,3,5,5.0,5,15,15.0,15
78,Prospects for Restoring the Investment Flow to the Syrian Arab Republic,1,1,0,2020,https://openalex.org/W3026862279,2,4,2.5,3,7,4.0,5,16,8.5,9
79,Integration of Blockchain Technology in IoT for High Level Security,0,0,0,2019,https://openalex.org/W4237782629,2,1,1.0,1,2,2.0,2,2,2.0,2
80,A Distributed Task-Oriented Real-Time Programming System,1,0,0,1994,https://openalex.org/W1965840105,1,4,4.0,4,5,5.0,5,12,12.0,12
81,How to go beyond the black-box simulation barrier,1,1,407,2001,https://openalex.org/W2126661026,1,3,3.0,3,7,7.0,7,16,16.0,16
82,Surface Realization Shared Task 2018 (SR18): The Tilburg University Approach,1,1,6,2018,https://openalex.org/W2921512818,3,4,3.0,4,9,5.333333333333333,8,24,10.333333333333334,15
83,Private computation using a PEZ dispenser,2,3,28,2003,https://openalex.org/W2060863072,4,4,2.75,4,9,5.25,9,27,11.25,16
84,Systematic Preprocessing of Data Dependent Constructs for Embedded Systems,2,3,8,2006,https://openalex.org/W2163391587,5,4,2.6,3,14,5.6,8,38,13.0,19
85,A Nonuniform Clustering Routing Algorithm Based on an Improved K-means Algorithm,0,0,11,2020,https://openalex.org/W3038336331,6,4,3.0,4,16,8.0,10,58,15.333333333333334,17
86,Efficient technique to estimate age using PCA &amp; multi SVM classification,1,1,4,2017,https://openalex.org/W2794807047,2,4,2.5,4,8,4.5,8,17,9.0,17
87,Web site management: making a Web site more visible,1,1,9,2000,https://openalex.org/W2079714473,1,2,2.0,2,4,4.0,4,6,6.0,6
88,Correction to “Waveform inversion of volcano‐seismic signals assuming possible source geometries”,2,3,3,2005,https://openalex.org/W2008737822,2,3,3.0,3,9,7.0,8,22,13.5,15
89,Network Intrusion Detection System Using Neural Network Classification of Attack Behavior,0,0,36,2015,https://openalex.org/W2677312956,2,3,2.5,3,6,3.5,5,14,8.5,13
90,On Universal Coding for Parallel Gaussian Channels,2,2,4,2008,https://openalex.org/W2123943812,3,4,2.6666666666666665,3,8,4.666666666666667,5,22,12.333333333333334,13
91,Inverse Analysis in Impact Problems.,0,0,2,1997,https://openalex.org/W248546218,3,1,1.0,1,2,1.6666666666666667,2,5,3.0,4
92,An abstract model of database concurrency control algorithms,1,1,0,1983,https://openalex.org/W4248033575,1,2,2.0,2,3,3.0,3,9,9.0,9
93,Implementing generalized measurements with superconducting qubits,1,2,11,2014,https://openalex.org/W1970530718,3,3,1.6666666666666667,3,11,6.0,9,24,11.0,13
94,SPANNING COLUMN RANK PRESERVERS OF INTEGER MATRICES,0,0,0,2007,https://openalex.org/W1972291688,2,3,2.0,2,12,8.0,9,27,16.0,18
95,Mash-up System for Searching Herb using Herb Ontology,1,1,3,2008,https://openalex.org/W2005781580,5,4,3.2,4,18,8.0,10,50,15.4,21
96,A joint cascaded framework for simultaneous eye detection and eye state estimation,2,5,97,2017,https://openalex.org/W2583387051,6,4,2.6666666666666665,4,17,6.833333333333333,8,51,13.833333333333334,16
97,PatchTable,2,2,51,2015,https://openalex.org/W2033850547,5,4,2.4,3,9,4.2,5,31,10.0,14
98,Shaping Tourist Destinations Through Language and Visual Elements on Tourism Websites: A Tourism Discourse Perspective,0,0,5,2018,https://openalex.org/W2942381367,2,3,2.5,3,10,7.5,9,20,12.5,17
99,E-Books Preference Compared to Print Books Based on Student Perceptions: A Case of University of Fort Hare Students,2,2,8,2019,https://openalex.org/W2996691134,2,2,1.5,2,6,3.5,6,14,7.5,14
0,Local Area Multicomputer (LAM -MPI),1,1,0,2013,https://openalex.org/W1981522608,1,2,2.0,2,3,3.0,3,7,7.0,7
1,Smoothing Method for Shape Measurement by Using a Low-Cost 3D Scanner,1,2,0,2011,https://openalex.org/W2067005771,4,3,2.25,3,12,5.5,8,42,13.0,21
2,A Framework for the Game-theoretic Analysis of Censorship Resistance,3,3,4,2016,https://openalex.org/W3100509983,5,4,2.6,4,15,6.4,10,33,11.4,16
3,Using AUTORAD for Cassini file uplinks - incorporating automated commanding into mission operations,1,1,0,2014,https://openalex.org/W2316483759,1,1,1.0,1,1,1.0,1,1,1.0,1
4,A genetically trained adaptive neuro-fuzzy inference system network utilized as a proportional-integral-derivative-like feedback controller for non-linear systems,1,1,8,2008,https://openalex.org/W2086084933,4,3,2.25,3,13,5.75,9,26,10.5,16
5,"Experimental Analysis and Review of ""Increased Capacity of Information Hiding""",1,2,0,2015,https://openalex.org/W2607369370,2,4,2.5,4,11,6.0,11,20,11.0,20
6,Tight bounds for clock synchronization,1,1,50,2010,https://openalex.org/W2038591001,3,4,3.0,4,10,5.333333333333333,6,20,11.666666666666666,13
7,Foreword: Parallelism in Algorithms and Architectures,2,3,0,2014,https://openalex.org/W2070866013,3,4,3.0,4,10,6.333333333333333,8,24,13.0,16
8,ASSESSING THE READABILTIY OF FREEWARE END-USER LICENSING AGREEMENTS,1,2,1,2008,https://openalex.org/W2136660529,2,2,2.0,2,6,4.0,5,13,8.0,9
9,The Role of Geodesy in Earthquake and Volcanic Studies,2,3,0,2014,https://openalex.org/W1663943107,3,4,2.3333333333333335,4,9,5.333333333333333,8,27,13.333333333333334,14
10,Phase Synchronization and Desynchronization of Structural Response Induced by Turbulent and External Sound,0,0,0,2002,https://openalex.org/W2168628363,1,1,1.0,1,6,6.0,6,13,13.0,13
11,EXAMINING THE APPLICATION OF BIG DATA ANALYTICS TO INCREASE UNIVERSITY RETENTION AND PROMOTE STUDENT SUCCESS,1,1,1,2015,https://openalex.org/W4230341724,2,4,2.5,4,12,6.5,12,20,10.0,19
12,Combining hierarchical and goal-directed speed-up techniques for dijkstra's algorithm,1,1,138,2010,https://openalex.org/W2150418461,6,3,2.1666666666666665,3,9,5.5,7,31,13.333333333333334,17
13,"125th Technical Conference and Equipment Exhibit October 30-November 4, 1983, Los Angeles",0,0,0,1983,https://openalex.org/W4205744082,0,0,0.0,0,0,0.0,0,0,0.0,0
14,An analysis of SCF and geometry convergence for diatomic molecules,1,1,1,2011,https://openalex.org/W2114216028,1,2,2.0,2,7,7.0,7,15,15.0,15
15,Innovative Techniques for Production of Terry Towel Fabrics with Aesthetical Values,1,1,0,2019,https://openalex.org/W3048499729,3,4,2.0,4,10,4.666666666666667,10,14,5.666666666666667,13
16,Addressing Mobile Agent Security through Agent Collaboration,1,2,1,2007,https://openalex.org/W1968954501,3,4,2.3333333333333335,3,9,4.333333333333333,6,24,9.333333333333334,13
17,"P5716Deletion of b56-alpha, a regulatory subunit of protein phosphatase 2a, is associated with an increased propensity to arrhythmia",1,0,0,2018,https://openalex.org/W2889536662,6,4,3.3333333333333335,4,9,5.333333333333333,8,30,10.0,15
18,Improved Solution of the Neutron Diffusion Equation Using Wavelet Theory,1,1,7,1999,https://openalex.org/W2017705275,3,3,2.0,2,12,7.0,9,26,13.666666666666666,20
19,Access Control Models in NoSQL Databases: An Overview,0,0,2,2019,https://openalex.org/W3003615586,1,1,1.0,1,1,1.0,1,1,1.0,1
20,Multiscale simulation of polymeric fluids using the sparse grid combination technique,1,3,8,2018,https://openalex.org/W2616864752,2,3,2.5,3,9,6.5,8,24,14.5,17
21,Polynomial Mean-Centric Crossover for Directed Mating in Evolutionary Constrained Multi-Objective Continuous Optimization,0,0,0,2017,https://openalex.org/W2610857219,3,3,2.3333333333333335,3,7,5.333333333333333,7,26,13.333333333333334,18
22,Sphinx,1,2,10,2015,https://openalex.org/W2296662216,5,3,1.6,3,7,2.8,7,21,6.4,16
23,Taking chance out of drug discovery,1,1,1,2009,https://openalex.org/W2979968960,1,2,2.0,2,4,4.0,4,15,15.0,15
24,Location-Aided Delay Tolerant Routing Protocol in UAV Networks for Post-Disaster Operation,1,1,100,2018,https://openalex.org/W2897732390,2,2,1.5,2,3,2.5,3,10,7.5,9
25,Chats with Bots,1,1,20,2019,https://openalex.org/W2943262897,2,3,2.5,3,6,4.0,6,13,8.0,13
26,Human Activity Recognition for Surveillance Applications,1,2,29,2015,https://openalex.org/W2321254964,4,4,3.25,4,13,6.5,9,36,13.25,21
27,Experimental tests of QED in bound and isolated systems – Lesson 3,1,1,0,2012,https://openalex.org/W2084722961,1,3,3.0,3,8,8.0,8,14,14.0,14
28,Obtaining better quality final clustering by merging a collection of clusterings,1,1,11,2010,https://openalex.org/W2043173860,2,3,2.5,3,5,3.5,5,14,8.0,11
29,Foreword: special issue on term and graph rewriting,1,1,0,2018,https://openalex.org/W2870160175,1,2,2.0,2,3,3.0,3,9,9.0,9
30,Hybrid Design as a Strategy for Development of Trypanocidal Drugs,1,2,1,2019,https://openalex.org/W2913459475,5,4,2.8,4,15,5.8,9,34,10.6,18
31,Identifying potential mineralisation targets through airborne geophysics - The Western Papua New Guinea Case study,0,0,4,2016,https://openalex.org/W2552087136,3,4,2.3333333333333335,3,11,5.0,10,19,7.333333333333333,17
32,A Genetic Algorithm Based Support Vector Machine Model for Blood-Brain Barrier Penetration Prediction,1,4,19,2015,https://openalex.org/W1923565292,7,4,3.142857142857143,4,16,7.285714285714286,12,56,15.0,22
33,Algorithms. 49. PIECE LIN REGR. An algorithm for fitting discontinuous multiphase linear least-square regression,1,1,0,1984,https://openalex.org/W2726515853,2,4,3.5,4,13,8.5,10,27,15.0,21
34,Teaching physics in XXI century. Why and how,1,2,0,2018,https://openalex.org/W2899955930,1,2,2.0,2,9,9.0,9,15,15.0,15
35,Toward Distribution Estimation under Local Differential Privacy with Small Samples,1,2,27,2018,https://openalex.org/W2799331111,3,4,3.6666666666666665,4,14,7.0,9,34,13.666666666666666,16
36,The Modulation Transfer Function for Speech Intelligibility,1,1,390,2009,https://openalex.org/W2159373586,2,4,3.5,4,10,7.0,9,18,11.0,16
